计费项,按量计费,单位,地域
"日志存储费","0.0062","元/GB/小时","亚太东南（雅加达）"
"日志存储费","0.0062","元/GB/小时","中国香港"
"日志存储费","0.0042","元/GB/小时","华东2（上海）"
"日志存储费","0.0062","元/GB/小时","亚太东南（柔佛）"
"日志存储费","0.0042","元/GB/小时","华南1（广州）"
"日志存储费","0.0042","元/GB/小时","华北2（北京）"
"日志低频存储费","0.00058","元/GB/小时","亚太东南（雅加达）"
"日志低频存储费","0.00058","元/GB/小时","中国香港"
"日志低频存储费","0.00058","元/GB/小时","亚太东南（柔佛）"
"日志低频存储费","0.00038","元/GB/小时","华南1（广州）"
"日志低频存储费","0.00038","元/GB/小时","华东2（上海）"
"日志低频存储费","0.00038","元/GB/小时","华北2（北京）"
"索引存储费","0.0062","元/GB/小时","亚太东南（雅加达）"
"索引存储费","0.0042","元/GB/小时","华东2（上海）"
"索引存储费","0.0062","元/GB/小时","中国香港"
"索引存储费","0.0042","元/GB/小时","华南1（广州）"
"索引存储费","0.0042","元/GB/小时","华北2（北京）"
"索引存储费","0.0062","元/GB/小时","亚太东南（柔佛）"
"索引低频存储费","0.00058","元/GB/小时","亚太东南（雅加达）"
"索引低频存储费","0.00058","元/GB/小时","亚太东南（柔佛）"
"索引低频存储费","0.00038","元/GB/小时","华北2（北京）"
"索引低频存储费","0.00038","元/GB/小时","华南1（广州）"
"索引低频存储费","0.00058","元/GB/小时","中国香港"
"索引低频存储费","0.00038","元/GB/小时","华东2（上海）"
,
,
,
计费项,按量计费,单位,地域
"日志存储费","0.0062","元/GB/小时","亚太东南（雅加达）"
"日志存储费","0.0062","元/GB/小时","亚太东南（柔佛）"
"日志存储费","0.0042","元/GB/小时","华北2（北京）"
"日志存储费","0.0042","元/GB/小时","华南1（广州）"
"日志存储费","0.0062","元/GB/小时","中国香港"
"日志存储费","0.0042","元/GB/小时","华东2（上海）"
"日志低频存储费","0.00058","元/GB/小时","亚太东南（雅加达）"
"日志低频存储费","0.00038","元/GB/小时","华东2（上海）"
"日志低频存储费","0.00058","元/GB/小时","中国香港"
"日志低频存储费","0.00038","元/GB/小时","华南1（广州）"
"日志低频存储费","0.00038","元/GB/小时","华北2（北京）"
"日志低频存储费","0.00058","元/GB/小时","亚太东南（柔佛）"
"索引存储费","0.0062","元/GB/小时","亚太东南（雅加达）"
"索引存储费","0.0062","元/GB/小时","亚太东南（柔佛）"
"索引存储费","0.0042","元/GB/小时","华北2（北京）"
"索引存储费","0.0042","元/GB/小时","华南1（广州）"
"索引存储费","0.0062","元/GB/小时","中国香港"
"索引存储费","0.0042","元/GB/小时","华东2（上海）"
"索引低频存储费","0.00058","元/GB/小时","亚太东南（雅加达）"
"索引低频存储费","0.00038","元/GB/小时","华东2（上海）"
"索引低频存储费","0.00058","元/GB/小时","中国香港"
"索引低频存储费","0.00038","元/GB/小时","华南1（广州）"
"索引低频存储费","0.00038","元/GB/小时","华北2（北京）"
"索引低频存储费","0.00058","元/GB/小时","亚太东南（柔佛）"
,
,
,
计费项,按量计费,单位,地域
"日志存储费","0.0062","元/GB/小时","亚太东南（雅加达）"
"日志存储费","0.0042","元/GB/小时","华东2（上海）"
"日志存储费","0.0062","元/GB/小时","中国香港"
