计费项,价格,单位,购买说明
"企业标准版","360","个","-"
"成员数","29","个","2个成员起购，上限100个。成员数与积分绑定购买，仅按积分收费"
"成员积分","0.001","点","1个成员搭配6.9万积分"
,
,
,
计费项,价格,单位,购买说明
"企业旗舰版","4600","个","-"
"成员数","29","个","20个成员起购。成员数与积分绑定购买，仅按积分收费"
"成员积分","0.001","点","1个成员搭配6.9万积分"
,
,
,
计费项,价格（元）,单位
"Doubao-1.5-thinking-pro推理（输入）  ","0.004","千tokens"
"Doubao-1.5-thinking-pro推理（输出）  ","0.016","千tokens"
"Doubao-pro-32k推理（输入） ","0.0008","千tokens"
"Doubao-pro-32k推理（输出）  ","0.002","千tokens"
"Doubao-lite-32k推理（输入）  ","0.0003","千tokens"
"Doubao-lite-32k推理（输出）  ","0.0006","千tokens"
"Doubao-lite-128k推理（输入）  ","0.0008","千tokens"
"Doubao-lite-128k推理（输出）  ","0.001","千tokens"
"Doubao-pro-256k推理（输入）  ","0.005","千tokens"
"Doubao-pro-256k推理（输出）  ","0.009","千tokens"
"Doubao-vision-pro-32k推理（输入）  ","0.003","千tokens"
"Doubao-vision-pro-32k推理（输出）  ","0.009","千tokens"
"Doubao-vision-lite-32k推理（输入）  ","0.0015","千tokens"
"Doubao-vision-lite-32k推理（输出）  ","0.0045","千tokens"
"Doubao-1.5-pro-32k推理（输入）  ","0.0008","千tokens"
"Doubao-1.5-pro-32k推理（输出）  ","0.002","千tokens"
"Doubao-1.5-pro-256k推理（输入）  ","0.005","千tokens"
"Doubao-1.5-pro-256k推理（输出）  ","0.009","千tokens"
"Doubao-1.5-vision-pro-32k推理（输入）  ","0.003","千tokens"
"Doubao-1.5-vision-pro-32k推理（输出）  ","0.009","千tokens"
"Doubao-1.5-lite-32k推理（输入）  ","0.0003","千tokens"
"Doubao-1.5-lite-32k推理（输出）  ","0.0006","千tokens"
"DeepSeek-R1推理（输入）  ","0.004","千tokens"
"DeepSeek-R1推理（输出）  ","0.016","千tokens"
"DeepSeek-R1-Distill-Qwen-7B推理（输入）  ","0.0006","千tokens"
"DeepSeek-R1-Distill-Qwen-7B推理（输出）  ","0.0024","千tokens"
"DeepSeek-R1-Distill-Qwen-32B推理（输入）  ","0.0015","千tokens"
"DeepSeek-R1-Distill-Qwen-32B推理（输出）  ","0.006","千tokens"
"DeepSeek-V3推理（输入）  ","0.002","千tokens"
"DeepSeek-V3推理（输出）  ","0.008","千tokens"
"Doubao-1.5-thinking-vision-pro推理（输入） ","0.003","千tokens"
"Doubao-1.5-thinking-vision-pro推理（输出） ","0.009","千tokens"
"Doubao-1.5-vision-pro推理（输入） ","0.003","千tokens"
"Doubao-1.5-vision-pro推理（输出） ","0.009","千tokens"
"Doubao-1.5-vision-lite推理（输入） ","0.0015","千tokens"
"Doubao-1.5-vision-lite推理（输出） ","0.0045","千tokens"
"Doubao-1.5-UI-TARS推理（输入） ","0.0035","千tokens"
"Doubao-1.5-UI-TARS推理（输出） ","0.012","千tokens"
"Doubao-Seed-1.6-thinking-32k（输入） ","0.0008","千tokens"
"Doubao-Seed-1.6-thinking-32k（输出） ","0.008","千tokens"
"Doubao-Seed-1.6-thinking-128k（输入） ","0.0012","千tokens"
"Doubao-Seed-1.6-thinking-128k（输出） ","0.016","千tokens"
"Doubao-Seed-1.6-thinking-256k（输入） ","0.0024","千tokens"
"Doubao-Seed-1.6-thinking-256k（输出） ","0.024","千tokens"
"Doubao-Seed-1.6-32k（输入） ","0.0008","千tokens"
"Doubao-Seed-1.6-128k（输入） ","0.0012","千tokens"
"Doubao-Seed-1.6-128k（输出） ","0.016","千tokens"
"Doubao-Seed-1.6-256k（输入） ","0.0024","千tokens"
"Doubao-Seed-1.6-256k（输出） ","0.024","千tokens"
"Doubao-Seed-1.6-0.2k（输出） ","0.002","千tokens"
"Doubao-Seed-1.6-16k（输出） ","0.008","千tokens"
"Doubao-Seed-1.6-flash-32k（输入） ","0.0002","千tokens"
"Doubao-Seed-1.6-flash-32k（输出） ","0.0015","千tokens"
"Doubao-Seed-1.6-flash-128k（输入） ","0.0003","千tokens"
"Doubao-Seed-1.6-flash-128k（输出） ","0.003","千tokens"
"Doubao-Seed-1.6-flash-256k（输入） ","0.0006","千tokens"
"Doubao-Seed-1.6-flash-256k（输出） ","0.006","千tokens"
"Kimi-K2推理（输入） ","0.004","千tokens"
"Kimi-K2推理（输出） ","0.016","千tokens"
"DeepSeek-V3.1推理（输入） ","0.004","千tokens"
"DeepSeek-V3.1推理（输出） ","0.012","千tokens"
"Doubao-Seed-1.6-vision-32k（输入） ","0.0008","千tokens"
"Doubao-Seed-1.6-vision-32k（输出） ","0.008","千tokens"
"Doubao-Seed-1.6-vision-128k（输入） ","0.0012","千tokens"
"Doubao-Seed-1.6-vision-128k（输出） ","0.016","千tokens"
"Doubao-Seed-1.6-vision-256k（输入） ","0.0024","千tokens"
"Doubao-Seed-1.6-vision-256k（输出） ","0.024","千tokens"
"Doubao-Seed-1.6-lite-32k（输入） ","0.0003","千tokens"
"Doubao-Seed-1.6-lite-32k（输出） ","0.0024","千tokens"
"Doubao-Seed-1.6-lite-128k（输入） ","0.0006","千tokens"
"Doubao-Seed-1.6-lite-128k（输出） ","0.004","千tokens"
"Doubao-Seed-1.6-lite-256k（输入） ","0.0012","千tokens"
"Doubao-Seed-1.6-lite-256k（输出） ","0.012","千tokens"
"DeepSeek-V3.1推理（缓存-命中）","0.0008","千tokens"
"DeepSeek-R1推理（缓存-命中）","0.0008","千tokens"
"Kimi-K2推理（缓存-命中)","0.0008","千tokens"
"DeepSeek-V3.2推理-128k（输入）","0.004","千tokens"
"DeepSeek-V3.2推理-128k（输出）","0.006","千tokens"
"DeepSeek-V3.2推理-32k（输入）","0.002","千tokens"
"DeepSeek-V3.2推理-32k（输出）","0.003","千tokens"
"DeepSeek-V3.2推理（缓存-命中）","0.0004","千tokens"
"Doubao-Seed-1.6-flash推理（缓存-命中)","0.0001","千tokens"
"Doubao-Seed-1.6-lite推理（缓存-命中)","0.0001","千tokens"
"Doubao-Seed-1.6-thinking推理（缓存-命中)","0.0002","千tokens"
"Doubao-Seed-1.6-vision推理（缓存-命中)","0.0002","千tokens"
"Doubao-Seed-1.6推理（缓存-命中)","0.0002","千tokens"
"Doubao-Seed-1.8-128k（输入）","0.0012","千tokens"
"Doubao-Seed-1.8-128k（输出）","0.016","千tokens"
"Doubao-Seed-1.8-256k（输入）","0.0024","千tokens"
"Doubao-Seed-1.8-256k（输出）","0.024","千tokens"
"Doubao-Seed-1.8-32k（输入）","0.0008","千tokens"
"Doubao-Seed-1.8-32k（输出）","0.008","千tokens"
"Doubao-Seed-1.8特惠区推理（输入）","0.0008","千tokens"
"Doubao-Seed-1.8特惠区推理（输出）","0.002","千tokens"
"Doubao-Seed-1.8（缓存-命中)","0.0002","千tokens"
"Doubao-Seed-Code-128k（输入）","0.0014","千tokens"
"Doubao-Seed-Code-128k（输出）","0.012","千tokens"
"Doubao-Seed-Code-256k（输入）","0.0028","千tokens"
"Doubao-Seed-Code-256k（输出）","0.016","千tokens"
"Doubao-Seed-Code-32k（输入）","0.0012","千tokens"
"Doubao-Seed-Code-32k（输出）","0.008","千tokens"
"Doubao-Seed-Code推理（缓存-命中)","0.0002","千tokens"
"Doubao-Seedance-1.0-pro-fast推理","0.0042","千tokens"
"Doubao-Seedance-1.5-pro推理（无声）","0.008","千tokens"
"Doubao-Seedance-1.5-pro推理（有声）","0.016","千tokens"
,
,
,
计费项,价格（元）,单位
"实时音视频-语音通话时长  ","0.007","分钟"
"实时音视频-小程序语音通话时长  ","0.009","分钟"
"实时音视频-对话式Al-音频时长  ","0.009","分钟"
"实时音视频-视频通话时长-360P  ","0.014","分钟"
"实时音视频-视频通话时长-720P  ","0.028","分钟"
"实时音视频-视频通话时长-1080P  ","0.063","分钟"
"实时音视频-视频通话时长-2K  ","0.112","分钟"
"实时音视频-视频通话时长-4K  ","0.252","分钟"
,
,
,
计费项,价格类型,价格（元）,单位
"语音合成-系统音色文字转语音字数  ","固定单价","0.0005","字符"
"语音合成-复刻音色文字转语音字数  ","固定单价","0.0008","字符"
"语音合成-小模型合成次数  ","超额累进阶梯价","[0, 1000000], 0.0055；(1000000, 5000000], 0.005；(5000000, 10000000], 0.0045；(10000000, +∞), 0.004","次"
"语音识别-大模型流式语音识别时长  ","固定单价","0.075","分钟"
"语音识别-大模型录音文件识别时长  ","固定单价","0.039","分钟"
"语音识别-小模型流式语音识别时长  ","超额累进阶梯价","[0, 18000], 0.0584；(18000, 60000], 0.05；(60000, 180000], 0.04；(180000, 300000], 0.03；(300000, +∞), 0.02","分钟"
"声音复刻-音色模型存储数  ","固定单价","1","个"
