计费项,计费说明,计费方式,价格,单位,地域
"内存使用量（弹性实例）","根据函数配置的vCPU实例内存规格，按函数执行请求时长计费","按加和量小时结","0.0000762","元/GB-second","华东2（上海）"
"内存使用量（弹性实例）","根据函数配置的vCPU实例内存规格，按函数执行请求时长计费","按加和量小时结","0.0000762","元/GB-second","华北2（北京）"
"内存使用量（预留实例）","根据函数配置的vCPU实例内存规格，按系统启动预留实例，到用户主动释放为时长计费","按加和量小时结","0.0000305","元/GB-second","华北2（北京）"
"内存使用量（预留实例）","根据函数配置的vCPU实例内存规格，按系统启动预留实例，到用户主动释放为时长计费","按加和量小时结","0.0000305","元/GB-second","华东2（上海）"
"GPU使用量","根据函数配置的GPU规格，按函数执行请求时长计费","按加和量小时结","0.00011","元/GB-second","华北2（北京）"
"GPU使用量","根据函数配置的GPU规格，按函数执行请求时长计费","按加和量小时结","0.00011","元/GB-second","华东2（上海）"
"调用次数","用户调用函数执行请求的次数","按加和量小时结","0.000001","元/次","华北2（北京）"
"调用次数","用户调用函数执行请求的次数","按加和量小时结","0.000001","元/次","华东2（上海）"
"公网出流量","通过函数服务提供公共网卡的公网出流量总和计费","按加和量小时结","0.8","元/GB","华北2（北京）"
"公网出流量","通过函数服务提供公共网卡的公网出流量总和计费","按加和量小时结","0.8","元/GB","华东2（上海）"
,
,
,
计费项,计费说明,计费方式,价格,单位,地域
"内存使用量（弹性实例）","根据函数配置的vCPU实例内存规格，按函数执行请求时长计费","按加和量小时结","0.000149","元/GB-second","亚太东南（柔佛）"
"内存使用量（预留实例）","根据函数配置的vCPU实例内存规格，按系统启动预留实例，到用户主动释放为时长计费","按加和量小时结","0.0000615","元/GB-second","亚太东南（柔佛）"
"调用次数","用户调用函数执行请求的次数","按加和量小时结","0.0000015","元/次","亚太东南（柔佛）"
"公网出流量","通过函数服务提供公共网卡的公网出流量总和计费","按加和量小时结","0.75","元/GB","亚太东南（柔佛）"
